#Name 	 q_Estimate 	 Err_down 	 Err_up
 rf0701 	 7.163476 	 0.098085 	 0.163476 
 rf0702 	 7.490427 	 0.098085 	 0.163476 
 rf0381 	 7.326951 	 0.196171 	 0.196171 
 rf0703 	 7.490427 	 0.098085 	 0.163476 
 rf0385 	 7.261561 	 0.228866 	 0.294256 
 rf0776 	 7.163476 	 0.098085 	 0.196171 
 rf0495 	 8.602060 	 0.653902 	 0.000000 
 rf0496 	 7.490427 	 0.130780 	 0.719292 
 rf0777 	 7.098085 	 0.098085 	 0.196171 
 rf0778 	 7.000000 	 0.000000 	 0.098085 
 rf0499 	 7.000000 	 0.000000 	 0.392341 
 rf0502 	 7.000000 	 0.000000 	 0.098085 
 rf0503 	 7.000000 	 0.000000 	 0.359646 
 rf0784 	 7.000000 	 0.000000 	 0.196171 
 rf0785 	 7.326951 	 0.163476 	 0.163476 
 rf0789 	 7.163476 	 0.065390 	 0.163476 
 rf0505 	 7.000000 	 0.000000 	 0.457732 
 rf0506 	 7.130780 	 0.130780 	 0.980853 
 rf0792 	 7.523122 	 0.163476 	 0.196171 
 rf0507 	 7.130780 	 0.130780 	 0.228866 
 rf0510 	 8.602060 	 8.602060 	 -8.602060 
 rf0513 	 7.261561 	 0.228866 	 0.261561 
 rf0795 	 7.000000 	 0.000000 	 0.163476 
 rf0796 	 7.065390 	 0.032695 	 0.032695 
 rf0797 	 7.425036 	 0.163476 	 0.228866 
 rf0290 	 7.817378 	 0.392341 	 0.425036 
 rf0323 	 7.392341 	 0.261561 	 0.392341 
 rf0453 	 7.098085 	 0.098085 	 0.228866 
 rf0763 	 7.588512 	 0.163476 	 0.228866 
 rf0436 	 7.457732 	 0.228866 	 1.144329 
 rf0439 	 7.523122 	 0.098085 	 0.163476 
 rf0441 	 7.523122 	 0.163476 	 0.228866 
 rf0476 	 7.261561 	 0.163476 	 0.261561 
 rf0477 	 7.457732 	 0.228866 	 0.457732 
 rf0771 	 7.261561 	 0.196171 	 0.228866 
 rf0487 	 7.000000 	 0.000000 	 0.523122 
 rf0488 	 7.000000 	 0.000000 	 0.457732 
 rf0756 	 7.523122 	 0.130780 	 0.228866 
 rf0413 	 7.163476 	 0.163476 	 0.261561 
 rf0723 	 7.228866 	 0.163476 	 0.228866 
 rf0427 	 7.196171 	 0.196171 	 0.228866 
 rf0464 	 7.915463 	 0.163476 	 0.261561 
 rf0430 	 7.425036 	 0.130780 	 0.163476 
 rf0761 	 7.425036 	 0.098085 	 0.163476 
 rf0750 	 7.294256 	 0.163476 	 0.228866 
 rf0432 	 7.130780 	 0.130780 	 0.196171 
 rf0434 	 7.523122 	 0.196171 	 0.196171 
 rf0788 	 7.196171 	 0.130780 	 0.163476 
 rf0712 	 7.000000 	 0.000000 	 0.098085 
 rf0729 	 7.326951 	 0.228866 	 0.359646 
 rf0731 	 7.196171 	 0.098085 	 0.163476 
 rf0419 	 7.751987 	 0.163476 	 0.196171 
 rf0425 	 7.228866 	 0.196171 	 0.359646 
 rf0753 	 7.392341 	 0.130780 	 0.130780 
 rf0435 	 8.602060 	 0.751987 	 0.000000 
 rf0454 	 7.228866 	 0.163476 	 0.196171 
 rf0455 	 8.602060 	 0.686597 	 0.000000 
 rf0762 	 8.602060 	 0.719292 	 0.000000 
 rf0467 	 7.130780 	 0.130780 	 0.261561 
 rf0479 	 7.359646 	 0.130780 	 0.163476 
 rf0714 	 7.130780 	 0.130780 	 0.163476 
 rf0412 	 7.261561 	 0.228866 	 0.228866 
 rf0717 	 7.425036 	 0.196171 	 0.294256 
 rf0718 	 7.326951 	 0.163476 	 0.196171 
 rf0444 	 8.602060 	 0.621207 	 0.000000 
 rf0705 	 7.261561 	 0.196171 	 0.228866 
 rf0713 	 7.196171 	 0.130780 	 0.163476 
 rf0473 	 7.065390 	 0.065390 	 0.163476 
 rf0480 	 7.000000 	 0.000000 	 0.130780 
 rf0482 	 7.000000 	 0.000000 	 0.425036 
 rf0485 	 7.751987 	 0.163476 	 0.196171 
 rf0474 	 7.588512 	 0.163476 	 0.196171 
 rf0772 	 7.948158 	 0.163476 	 0.130780 
 rf0775 	 7.653902 	 0.130780 	 0.130780 
 rf0428 	 7.359646 	 0.130780 	 0.130780 
 rf0764 	 7.359646 	 0.163476 	 0.163476 
 rf0460 	 7.392341 	 0.326951 	 0.294256 
 rf0461 	 7.555817 	 0.196171 	 0.294256 
 rf0791 	 7.326951 	 0.130780 	 0.196171 
 rf0728 	 7.392341 	 0.228866 	 0.261561 
 rf0745 	 7.817378 	 0.130780 	 0.163476 
 rf0748 	 7.555817 	 0.457732 	 0.261561 
 rf0431 	 7.425036 	 0.098085 	 0.130780 
 rf0459 	 7.555817 	 0.130780 	 0.196171 
 rf0440 	 7.621207 	 0.196171 	 0.751987 
 rf0393 	 7.784683 	 0.130780 	 0.228866 
 rf0749 	 7.490427 	 0.098085 	 0.163476 
 rs0002 	 7.228866 	 0.196171 	 0.326951 
 rs0003 	 7.000000 	 0.000000 	 0.457732 
 rs0004 	 7.588512 	 0.163476 	 0.196171 
 rs0005 	 7.000000 	 0.000000 	 0.228866 
 rs1314 	 7.228866 	 0.130780 	 0.196171 
 rs0006 	 7.719292 	 0.228866 	 0.653902 
 rs0007 	 7.196171 	 0.130780 	 0.163476 
 rs0009 	 7.555817 	 0.130780 	 0.196171 
 rs0010 	 7.228866 	 0.163476 	 0.228866 
 rs0011 	 7.196171 	 0.130780 	 0.130780 
 rs0012 	 7.392341 	 0.228866 	 0.359646 
 rs0013 	 7.228866 	 0.163476 	 0.392341 
 rs0014 	 7.326951 	 0.130780 	 0.130780 
 rs0015 	 7.065390 	 0.065390 	 0.163476 
 rs0018 	 8.013548 	 0.948158 	 0.588512 
 rs0019 	 7.261561 	 0.228866 	 0.261561 
 rs0021 	 7.000000 	 0.000000 	 0.425036 
 rs0022 	 8.242414 	 0.457732 	 0.359646 
 rs0023 	 7.425036 	 0.228866 	 0.163476 
 rs0029 	 7.555817 	 0.326951 	 0.359646 
 rs0030 	 7.751987 	 0.392341 	 0.392341 
 rs0032 	 7.817378 	 0.817378 	 0.784683 
 rs0035 	 7.719292 	 0.163476 	 0.196171 
 rs0037 	 7.326951 	 0.130780 	 0.130780 
 rs0039 	 7.392341 	 0.130780 	 0.163476 
 rs0040 	 7.065390 	 0.065390 	 0.196171 
 rs0041 	 7.490427 	 0.261561 	 0.425036 
 rs0042 	 7.359646 	 0.228866 	 0.457732 
 rs0043 	 7.000000 	 0.000000 	 0.425036 
 rs0044 	 7.751987 	 0.326951 	 0.588512 
 rs0045 	 7.196171 	 0.163476 	 0.457732 
 rs0046 	 7.294256 	 0.261561 	 1.307804 
 rs1315 	 7.359646 	 0.163476 	 0.228866 
 rs0048 	 7.261561 	 0.228866 	 0.228866 
 rs0049 	 8.046243 	 1.046243 	 0.555817 
 rs1316 	 7.490427 	 0.359646 	 1.078939 
 rs0050 	 7.228866 	 0.196171 	 0.261561 
 rs0051 	 7.261561 	 0.228866 	 0.294256 
 rs0052 	 7.228866 	 0.196171 	 0.196171 
 rs0053 	 7.686597 	 0.425036 	 0.523122 
 rs0054 	 7.359646 	 0.196171 	 0.196171 
 rs0055 	 7.457732 	 0.392341 	 0.261561 
 rs0056 	 7.294256 	 0.228866 	 0.359646 
 rs0057 	 7.523122 	 0.163476 	 0.261561 
 rs1317 	 7.000000 	 0.000000 	 0.261561 
 rs0060 	 7.425036 	 0.163476 	 0.196171 
 rs1318 	 7.000000 	 0.000000 	 0.196171 
 rs1319 	 7.621207 	 0.490427 	 0.653902 
 rs0062 	 7.392341 	 0.130780 	 0.130780 
 rs0063 	 7.196171 	 0.196171 	 0.228866 
 rs0064 	 8.144329 	 0.392341 	 0.457732 
 rs0065 	 7.163476 	 0.130780 	 0.196171 
 rs0066 	 7.359646 	 0.130780 	 0.130780 
 rs0068 	 7.425036 	 0.294256 	 0.686597 
 rs0070 	 7.228866 	 0.130780 	 0.163476 
 rs0074 	 7.196171 	 0.196171 	 0.228866 
 rs0077 	 7.457732 	 0.425036 	 0.326951 
 rs0080 	 8.602060 	 0.915463 	 0.000000 
 rs0081 	 7.000000 	 0.000000 	 0.294256 
 rs0082 	 7.098085 	 0.065390 	 0.196171 
 rs0083 	 7.392341 	 0.098085 	 0.098085 
 rs0084 	 7.000000 	 0.000000 	 0.425036 
 rs0085 	 7.163476 	 0.163476 	 0.294256 
 rs0088 	 7.392341 	 0.196171 	 0.163476 
 rs0087 	 7.457732 	 0.228866 	 0.130780 
 rs0089 	 7.392341 	 0.359646 	 0.294256 
 rs0090 	 7.523122 	 0.163476 	 0.228866 
 rs0092 	 7.000000 	 0.000000 	 0.425036 
 rs0093 	 7.326951 	 0.261561 	 0.294256 
 rs0094 	 7.490427 	 0.294256 	 0.490427 
 rs0095 	 7.490427 	 0.098085 	 0.261561 
 rs0096 	 7.490427 	 0.359646 	 0.294256 
 rs0097 	 7.686597 	 0.228866 	 0.457732 
 rs0098 	 7.228866 	 0.228866 	 1.373195 
 rs0104 	 7.392341 	 0.294256 	 0.196171 
 rs0105 	 7.098085 	 0.098085 	 0.130780 
 rs0107 	 7.000000 	 0.000000 	 0.457732 
 rs0109 	 7.359646 	 0.228866 	 0.098085 
 rs0111 	 7.294256 	 0.098085 	 0.130780 
 rs1321 	 7.000000 	 0.000000 	 0.457732 
 rs1322 	 7.000000 	 0.000000 	 0.555817 
 rs0113 	 7.948158 	 0.457732 	 0.653902 
 rs0114 	 7.425036 	 0.163476 	 0.163476 
 rs0118 	 7.261561 	 0.196171 	 0.425036 
 rs0120 	 7.065390 	 0.065390 	 0.196171 
 rs0121 	 7.196171 	 0.196171 	 0.196171 
 rs0122 	 7.457732 	 0.196171 	 0.196171 
 rs0124 	 7.261561 	 0.098085 	 0.228866 
 rs0125 	 8.602060 	 8.602060 	 -8.602060 
 rs0126 	 7.392341 	 0.261561 	 0.425036 
 rs0127 	 7.653902 	 0.261561 	 0.948158 
 rs0128 	 7.228866 	 0.228866 	 0.294256 
 rs0129 	 7.457732 	 0.326951 	 0.359646 
 rs0130 	 7.261561 	 0.130780 	 0.228866 
 rs0132 	 7.261561 	 0.130780 	 0.130780 
 rs0133 	 8.602060 	 0.686597 	 0.000000 
 rs0134 	 7.915463 	 0.490427 	 0.686597 
 rs0135 	 7.359646 	 0.294256 	 0.261561 
 rs0136 	 8.144329 	 0.523122 	 0.457732 
 rs0137 	 7.196171 	 0.163476 	 0.228866 
 rs0138 	 7.359646 	 0.130780 	 0.163476 
 rs0139 	 8.242414 	 0.196171 	 0.261561 
 rs0140 	 7.751987 	 0.130780 	 0.228866 
 rs0141 	 7.130780 	 0.098085 	 0.130780 
 rs0142 	 7.980853 	 0.294256 	 0.425036 
 rs0143 	 7.523122 	 0.392341 	 0.294256 
 rs0145 	 7.228866 	 0.228866 	 0.098085 
 rs0146 	 7.555817 	 0.196171 	 0.228866 
 rs0147 	 7.326951 	 0.261561 	 0.751987 
 rs0148 	 7.621207 	 0.392341 	 0.359646 
 rs0149 	 7.163476 	 0.163476 	 0.228866 
 rs1323 	 7.196171 	 0.130780 	 0.196171 
 rs1324 	 7.163476 	 0.098085 	 0.228866 
 rs0150 	 7.130780 	 0.098085 	 0.130780 
 rs0151 	 7.523122 	 0.163476 	 0.163476 
 rs0152 	 7.425036 	 0.130780 	 0.130780 
 rs0154 	 7.392341 	 0.163476 	 0.163476 
 rs1325 	 7.000000 	 0.000000 	 0.425036 
 rs0155 	 7.817378 	 0.523122 	 0.784683 
 rs0156 	 7.196171 	 0.163476 	 0.228866 
 rs0159 	 7.980853 	 0.457732 	 0.621207 
 rs0161 	 7.163476 	 0.163476 	 0.359646 
 rs0163 	 7.653902 	 0.359646 	 0.457732 
 rs0165 	 7.359646 	 0.261561 	 0.326951 
 rs0166 	 7.457732 	 0.294256 	 0.294256 
 rs0167 	 7.555817 	 0.228866 	 0.523122 
 rs0168 	 7.555817 	 0.163476 	 0.163476 
 rs0170 	 7.326951 	 0.196171 	 0.196171 
 rs0171 	 7.261561 	 0.163476 	 0.261561 
 rs0172 	 7.098085 	 0.098085 	 0.196171 
 rs0173 	 7.294256 	 0.130780 	 0.163476 
 rs0174 	 7.294256 	 0.163476 	 0.130780 
 rs0175 	 7.425036 	 0.228866 	 0.457732 
 rs0177 	 7.392341 	 0.098085 	 0.621207 
 rs0178 	 7.000000 	 0.000000 	 0.294256 
 rs0179 	 7.000000 	 0.000000 	 1.471280 
 rs0180 	 7.228866 	 0.196171 	 0.359646 
 rs0181 	 7.000000 	 0.000000 	 0.457732 
 rs0182 	 7.228866 	 0.196171 	 0.261561 
 rs0183 	 7.555817 	 0.457732 	 0.326951 
 rs0188 	 8.602060 	 0.653902 	 0.000000 
 rs0190 	 7.882768 	 0.523122 	 0.719292 
 rs0191 	 8.602060 	 0.621207 	 0.000000 
 rs0193 	 7.163476 	 0.163476 	 0.196171 
 rs0194 	 8.144329 	 0.555817 	 0.457732 
 rs0196 	 7.000000 	 0.000000 	 0.294256 
 rs0201 	 7.000000 	 0.000000 	 0.457732 
 rs0202 	 7.098085 	 0.065390 	 0.228866 
 rs0203 	 7.882768 	 0.392341 	 0.490427 
 rs0206 	 7.392341 	 0.326951 	 0.392341 
 rs0209 	 7.555817 	 0.359646 	 0.326951 
 rs0210 	 7.261561 	 0.130780 	 0.163476 
 rs0211 	 7.457732 	 0.392341 	 0.261561 
 rs0212 	 7.130780 	 0.130780 	 0.130780 
 rs0214 	 7.228866 	 0.196171 	 0.228866 
 rs0215 	 7.196171 	 0.098085 	 0.130780 
 rs0218 	 7.000000 	 0.000000 	 0.425036 
 rs0220 	 7.555817 	 0.163476 	 0.228866 
 rs0221 	 7.261561 	 0.228866 	 0.261561 
 rs0222 	 7.621207 	 0.392341 	 0.326951 
 rs0223 	 7.621207 	 0.392341 	 0.326951 
 rs0225 	 7.686597 	 0.392341 	 0.359646 
 rs0226 	 7.392341 	 0.196171 	 0.196171 
 rs0227 	 7.326951 	 0.294256 	 0.294256 
 rs0228 	 7.326951 	 0.196171 	 0.163476 
 rs0231 	 7.261561 	 0.196171 	 0.294256 
 rs1329 	 7.425036 	 0.098085 	 0.130780 
 rs0236 	 7.261561 	 0.130780 	 0.130780 
 rs0237 	 8.209719 	 0.621207 	 0.392341 
 rs0239 	 7.261561 	 0.196171 	 0.359646 
 rs0240 	 8.242414 	 1.111634 	 0.359646 
 rs0241 	 7.359646 	 0.228866 	 0.392341 
 rs0242 	 7.163476 	 0.163476 	 0.196171 
 rs0243 	 7.555817 	 0.326951 	 0.294256 
 rs0244 	 7.228866 	 0.196171 	 0.130780 
 rs0246 	 7.817378 	 0.261561 	 0.425036 
 rs0247 	 7.588512 	 0.130780 	 0.130780 
 rs0250 	 8.078939 	 0.882768 	 0.523122 
 rs0253 	 7.523122 	 0.326951 	 0.359646 
 rs0255 	 7.425036 	 0.196171 	 0.228866 
 rs0256 	 7.784683 	 0.425036 	 0.228866 
 rs0257 	 7.196171 	 0.163476 	 0.163476 
 rs0259 	 7.392341 	 0.261561 	 0.457732 
 rs0260 	 7.686597 	 0.490427 	 0.196171 
 rs0261 	 7.686597 	 0.392341 	 0.751987 
 rs0262 	 7.457732 	 0.196171 	 0.130780 
 rs0263 	 7.425036 	 0.326951 	 0.261561 
 rs0264 	 7.621207 	 0.163476 	 0.228866 
 rs0266 	 8.602060 	 0.588512 	 0.000000 
 rs0267 	 7.000000 	 0.000000 	 0.425036 
 rs0268 	 7.000000 	 0.000000 	 0.425036 
 rs0269 	 7.392341 	 0.228866 	 0.359646 
 rs0270 	 7.653902 	 0.457732 	 0.326951 
 rs0272 	 7.294256 	 0.228866 	 0.359646 
 rs0273 	 7.294256 	 0.228866 	 0.359646 
 rs0274 	 7.294256 	 0.228866 	 0.326951 
 rs0275 	 7.000000 	 0.000000 	 0.425036 
 rs0276 	 7.261561 	 0.196171 	 0.261561 
 rs0277 	 7.196171 	 0.098085 	 0.163476 
 rs1330 	 7.163476 	 0.098085 	 0.130780 
 rs0280 	 8.471280 	 0.555817 	 0.130780 
 rs0282 	 8.177024 	 0.457732 	 0.425036 
 rs0283 	 7.196171 	 0.163476 	 0.359646 
 rs0285 	 7.457732 	 0.163476 	 0.163476 
 rs0289 	 7.163476 	 0.163476 	 0.261561 
 rs0290 	 7.326951 	 0.163476 	 0.163476 
 rs0291 	 7.359646 	 0.163476 	 0.130780 
 rs0292 	 7.490427 	 0.228866 	 0.392341 
 rs0297 	 7.326951 	 0.130780 	 0.163476 
 rs0302 	 8.111634 	 0.196171 	 0.228866 
 rs0303 	 7.228866 	 0.098085 	 0.130780 
 rs0306 	 7.948158 	 0.425036 	 0.523122 
 rs0308 	 7.261561 	 0.196171 	 0.261561 
 rs0310 	 7.555817 	 0.457732 	 1.046243 
 rs1331 	 7.163476 	 0.098085 	 0.163476 
 rs0313 	 7.261561 	 0.261561 	 0.621207 
 rs0314 	 7.261561 	 0.196171 	 0.425036 
 rs0315 	 7.000000 	 0.000000 	 0.425036 
 rs0316 	 7.751987 	 0.425036 	 0.588512 
 rs0318 	 7.751987 	 0.130780 	 0.751987 
 rs0320 	 7.588512 	 0.490427 	 0.686597 
 rs0323 	 7.228866 	 0.196171 	 0.228866 
 rs0328 	 7.065390 	 0.065390 	 0.130780 
 rs0331 	 7.196171 	 0.163476 	 0.392341 
 rs0334 	 7.294256 	 0.228866 	 0.196171 
 rs0336 	 7.261561 	 0.196171 	 0.294256 
 rs0337 	 7.326951 	 0.228866 	 0.261561 
 rs0339 	 7.425036 	 0.326951 	 0.425036 
 rs0340 	 7.261561 	 0.196171 	 0.326951 
 rs0341 	 7.392341 	 0.228866 	 0.588512 
 rs0342 	 7.359646 	 0.163476 	 0.196171 
 rs0343 	 7.490427 	 0.196171 	 0.196171 
 rs0344 	 7.490427 	 0.228866 	 0.228866 
 rs0345 	 7.359646 	 0.098085 	 0.130780 
 rs0346 	 7.359646 	 0.130780 	 0.163476 
 rs0348 	 7.980853 	 0.228866 	 0.326951 
 rs0349 	 7.523122 	 0.098085 	 0.163476 
 rs0350 	 7.588512 	 0.228866 	 0.196171 
 rs0351 	 7.686597 	 0.425036 	 0.425036 
 rs0354 	 7.490427 	 0.163476 	 0.196171 
 rs0356 	 7.588512 	 0.392341 	 0.523122 
 rs0358 	 7.784683 	 0.425036 	 0.425036 
 rs0362 	 7.948158 	 0.751987 	 0.653902 
 rs0363 	 7.425036 	 0.196171 	 0.196171 
 rs0364 	 7.326951 	 0.130780 	 0.130780 
 rs0365 	 7.228866 	 0.130780 	 0.163476 
 rs0371 	 7.228866 	 0.228866 	 0.261561 
 rs0372 	 7.425036 	 0.130780 	 0.196171 
 rs0373 	 7.686597 	 0.326951 	 0.359646 
 rs0374 	 7.228866 	 0.163476 	 0.228866 
 rs0376 	 7.326951 	 0.228866 	 0.425036 
 rs0377 	 7.196171 	 0.163476 	 0.228866 
 rs0378 	 7.588512 	 0.326951 	 0.294256 
 rs0380 	 7.882768 	 0.425036 	 0.719292 
 rs0381 	 7.000000 	 0.000000 	 0.523122 
 rs0382 	 7.719292 	 0.490427 	 0.261561 
 rs0384 	 7.326951 	 0.228866 	 0.261561 
 rs0386 	 7.588512 	 0.196171 	 0.653902 
 rs0388 	 7.392341 	 0.163476 	 0.130780 
 rs0389 	 7.425036 	 0.098085 	 0.098085 
 rs0390 	 7.000000 	 0.000000 	 0.523122 
 rs0391 	 7.163476 	 0.163476 	 0.196171 
 rs0392 	 7.915463 	 0.261561 	 0.686597 
 rs0393 	 7.163476 	 0.130780 	 0.228866 
 rs0394 	 7.621207 	 0.163476 	 0.196171 
 rs0396 	 8.373195 	 0.751987 	 0.228866 
 rs0404 	 7.065390 	 0.032695 	 0.196171 
 rs0405 	 7.294256 	 0.163476 	 0.130780 
 rs0406 	 7.261561 	 0.196171 	 0.294256 
 rs0408 	 7.751987 	 0.228866 	 0.425036 
 rs0409 	 7.000000 	 0.000000 	 0.294256 
 rs0411 	 7.359646 	 0.130780 	 0.130780 
 rs1332 	 7.392341 	 0.163476 	 0.130780 
 rs0415 	 7.784683 	 0.098085 	 0.228866 
 rs0416 	 7.000000 	 0.000000 	 0.130780 
 rs0418 	 7.425036 	 0.196171 	 0.196171 
 rs0419 	 7.359646 	 0.261561 	 0.163476 
 rs0420 	 7.000000 	 0.000000 	 0.523122 
 rs0421 	 7.359646 	 0.098085 	 0.130780 
 rs0422 	 7.457732 	 0.098085 	 0.130780 
 rs0424 	 7.392341 	 0.130780 	 0.130780 
 rs0425 	 7.032695 	 0.032695 	 0.326951 
 rs0427 	 7.228866 	 0.130780 	 0.163476 
 rs0428 	 7.228866 	 0.196171 	 0.261561 
 rs0429 	 7.261561 	 0.130780 	 0.098085 
 rs0430 	 7.261561 	 0.098085 	 0.163476 
 rs0432 	 8.569365 	 0.261561 	 0.032695 
 rs0433 	 7.261561 	 0.196171 	 0.326951 
 rs0434 	 7.588512 	 0.261561 	 0.490427 
 rs0435 	 7.065390 	 0.065390 	 0.130780 
 rs0437 	 7.719292 	 0.228866 	 0.228866 
 rs0440 	 7.784683 	 0.130780 	 0.425036 
 rs0442 	 7.065390 	 0.065390 	 0.228866 
 rs0444 	 7.294256 	 0.130780 	 0.130780 
 rs0446 	 7.359646 	 0.163476 	 0.228866 
 rs1333 	 7.359646 	 0.163476 	 0.228866 
 rs1336 	 7.000000 	 0.000000 	 0.425036 
 rs0448 	 7.294256 	 0.130780 	 0.130780 
 rs0449 	 8.046243 	 0.555817 	 0.555817 
 rs0450 	 8.503975 	 0.490427 	 0.098085 
 rs0451 	 8.111634 	 0.294256 	 0.228866 
 rs0452 	 7.490427 	 0.326951 	 0.359646 
 rs0453 	 7.784683 	 0.588512 	 0.817378 
 rs0454 	 7.000000 	 0.000000 	 0.425036 
 rs0456 	 7.130780 	 0.098085 	 0.228866 
 rs0457 	 7.784683 	 0.130780 	 0.163476 
 rs0460 	 7.359646 	 0.130780 	 0.163476 
 rs0463 	 8.209719 	 0.392341 	 0.392341 
 rs0466 	 8.209719 	 0.817378 	 0.392341 
 rs0467 	 7.098085 	 0.098085 	 0.163476 
 rs0468 	 7.000000 	 0.000000 	 0.392341 
 rs0469 	 7.784683 	 0.261561 	 0.686597 
 rs0470 	 7.196171 	 0.098085 	 0.163476 
 rs0472 	 7.457732 	 0.098085 	 0.130780 
 rs0473 	 7.490427 	 0.130780 	 0.196171 
 rs0476 	 7.196171 	 0.196171 	 0.228866 
 rs0477 	 7.000000 	 0.000000 	 0.425036 
 rs0480 	 7.163476 	 0.163476 	 0.261561 
 rs0484 	 7.392341 	 0.130780 	 0.196171 
 rs0485 	 7.457732 	 0.163476 	 0.163476 
 rs0493 	 7.817378 	 0.490427 	 0.490427 
 rs0495 	 7.228866 	 0.130780 	 0.163476 
 rs0496 	 7.228866 	 0.228866 	 0.196171 
 rs0497 	 7.490427 	 0.130780 	 0.196171 
 rs0498 	 7.588512 	 0.425036 	 0.784683 
 rs0501 	 7.359646 	 0.196171 	 0.163476 
 rs0503 	 7.719292 	 0.425036 	 0.457732 
 rs0505 	 7.653902 	 0.457732 	 0.948158 
 rs0508 	 7.228866 	 0.130780 	 0.163476 
 rs0513 	 8.078939 	 0.294256 	 0.359646 
 rs0516 	 7.457732 	 0.196171 	 0.163476 
 rs0517 	 7.588512 	 0.490427 	 0.588512 
 rs0519 	 7.392341 	 0.261561 	 0.196171 
 rs0520 	 7.261561 	 0.163476 	 0.228866 
